txn_date,description_raw,description_sa,amount_zar,category,is_synthetic,merchant_localised,merchant_group,split,seen_in_train
2023-07-03 00:00:00,Point of Sale Debit L340 DATE 06-30 ERENTERPLAN COM PS://WWWER,date erenterplan com ps wwwer,-356.7,Other Services,False,False,date erenterplan com ps wwwer,train,False
2023-08-18 00:00:00,Point of Sale Debit L343 TIME 11:31 AM DATE 08-17 7-ELEVEN RALEIGH,time date raleigh,-1340.75,Transport,False,False,time date raleigh,val,False
2023-06-16 00:00:00,Point of Sale Debit L340 DATE 06-15 STORE*CHICK-FIL-A WWW DOORDASH,date store chick fil www mr food,-524.23,Entertainment,False,True,date store chick fil www doordash,train,False
2023-07-03 00:00:00,Point of Sale Debit L340 DATE 06-30 SPI*DUKE-ENERGY 1036,date spi ekurhuleni electricity cape town,-1273.24,Utilities,False,True,date spi duke energy,train,False
2023-06-23 00:00:00,Point of Sale Debit L340 TIME 08:04 AM DATE 06-23 7-ELEVEN RALEIGH,time date raleigh,-311.2,Transport,False,False,time date raleigh,val,False
2023-09-21 00:00:00,Point of Sale Debit L340 TIME 09:21 AM DATE 09-21 7-ELEVEN RALEIGH,time date raleigh,-736.9,Transport,False,False,time date raleigh,val,False
2023-06-30 00:00:00,Point of Sale Debit L340 DATE 06-29 APPLE COM/BILL 1036,date apple com randburg,-39.34,Other Services,False,False,date apple com,train,False
2023-09-11 00:00:00,Point of Sale Debit L340 DATE 09-08 APPLE COM/BILL 1036,date apple com,-296.14,Other Services,False,False,date apple com,train,False
2023-08-24 00:00:00,Point of Sale Debit L340 TIME 07:52 AM DATE 08-24 FOOD LION #0247 4RALEIGH,time date food lion raleigh,-63.23,Groceries,False,False,time date food lion raleigh,train,False
2023-08-25 00:00:00,WAL Wal-Mart S 08/25 #3168 PURCHASE 2648 WAL-SAMS SAN LEANDRO CA,wal checkers hyper wal sams san leandro,-1235.01,Groceries,False,True,wal wal mart wal sams san leandro,train,False
2023-08-07 00:00:00,SPROUTS FARMER 08/06 #Maryse Hemant SPROUTS FARMERS M OAKLAND CA,sprouts farmer sprouts farmers oakland,-168.85,Groceries,False,False,sprouts farmer sprouts farmers oakland,test,False
2023-08-29 00:00:00,SPROUTS FARMER 08/29 #3168 PURCHASE SPROUTS FARMERS M OAKLAND CA,sprouts farmer sprouts farmers oakland,-495.56,Groceries,False,False,sprouts farmer sprouts farmers oakland,test,False
2023-07-17 00:00:00,7-ELEVEN 07/15 #3168 PURCHASE 7-ELEVEN OAKLAND CA,oakland polokwane,-310.29,Groceries,False,False,oakland,train,False
2023-07-17 00:00:00,SPROUTS FARMER 07/16 #Maryse Hemant FARMERS M OAKLAND CA,sprouts farmer farmers oakland,-773.96,Groceries,False,False,sprouts farmer farmers oakland,train,False
2023-09-11 00:00:00,SPROUTS FARMER 09/09 #3168 PURCHASE SPROUTS FARMERS M OAKLAND CA,sprouts farmer sprouts farmers oakland polokwane,-519.34,Groceries,False,False,sprouts farmer sprouts farmers oakland,test,False
2023-08-14 00:00:00,WAL Wal-Mart S 08/12 #3168 PURCHASE 2648 WAL-SAMS SAN LEANDRO CA,wal spar wal sams san leandro,-3086.04,Groceries,False,True,wal wal mart wal sams san leandro,train,False
2023-07-21 00:00:00,Monthly Maintenance Fee,monthly maintenance fee,-184.99,Other Services,False,False,monthly maintenance fee,test,False
2023-06-27 00:00:00,Monthly Maintenance Fee,monthly maintenance fee,-184.99,Other Services,False,False,monthly maintenance fee,test,False
